sub_id,user_id,form_id,task_id,project_id,modified,campaign_id,campaign_name,how_satisfied_are_you_with_the_quality_of_the_water?,lat,lon
"""4503646311022592""","""5760341326692352""","""5631203463921664""","""5864968618508288""","""5897368358617088""",2019-03-12 23:50:21.070000+00:00,"""4960318247665664""",dv_tl-ph_water-&-sanitation-2,satisfied,7.0966744,125.6204438
"""4504049003003904""","""6035966068260864""","""5631203463921664""","""6272895309316096""","""5897368358617088""",2019-02-20 01:54:21.258000+00:00,"""6067082355539968""",su_tl-ph_water-&-sanitation-2,satisfied,6.5239215,122.136615
"""4504225977466880""","""5592980473774080""","""5631203463921664""","""5864968618508288""","""5897368358617088""",2019-02-12 23:08:29.623000+00:00,"""4960318247665664""",dv_tl-ph_water-&-sanitation-2,satisfied,7.065822,125.5967118
"""4504850945540096""","""5325745482104832""","""5631203463921664""","""6278228123582464""","""5897368358617088""",2019-01-28 17:32:19.302000+00:00,"""4685224216625152""",mg-ph-tl_tl-ph_water-&-sanitation-2,satisfied,5.9595069,125.0915282
"""4505307054080000""","""5433504583122944""","""5631203463921664""","""5864968618508288""","""5897368358617088""",2019-03-12 22:35:22.655000+00:00,"""4960318247665664""",dv_tl-ph_water-&-sanitation-2,satisfied,7.053466,125.5539332
"""4505434137296896""","""4673251483582464""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-03-25 16:50:23.330000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,satisfied,7.0354656,125.5760409
"""4505534851973120""","""6318147483205632""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-01-28 17:08:18.678000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,satisfied,7.0493172,125.5885423
"""4506469966807040""","""6518390116057088""","""5631203463921664""","""6604689426612224""","""5897368358617088""",2019-03-13 10:02:19.411000+00:00,"""4530404906237952""",ii_tl-ph_water-&-sanitation-2,dissatisfied,10.7106833,122.5691464
"""4506748960374784""","""6355617214103552""","""5631203463921664""","""6278228123582464""","""5897368358617088""",2019-02-26 09:09:21.393000+00:00,"""4685224216625152""",mg-ph-tl_tl-ph_water-&-sanitation-2,dissatisfied,7.3820976,124.2661237
"""4506968028872704""","""5974047588352000""","""5631203463921664""","""6278228123582464""","""5897368358617088""",2019-01-29 00:40:20.274000+00:00,"""4685224216625152""",mg-ph-tl_tl-ph_water-&-sanitation-2,satisfied,7.0977074,125.6307591
"""4508340057014272""","""5450188864880640""","""5631203463921664""","""6731849248276480""","""5897368358617088""",2019-01-25 16:19:26.363000+00:00,"""5932025741574144""",mg_tl-ph_water-&-sanitation-2,satisfied,7.0583143,125.6112486
"""4508639945555968""","""6404988437790720""","""5631203463921664""","""6278228123582464""","""5897368358617088""",2019-01-29 02:41:21.656000+00:00,"""4685224216625152""",mg-ph-tl_tl-ph_water-&-sanitation-2,satisfied,7.0067705,125.0842864
"""4508865853915136""","""6604676126474240""","""5631203463921664""","""6604689426612224""","""5897368358617088""",2019-03-12 23:53:23.902000+00:00,"""4530404906237952""",ii_tl-ph_water-&-sanitation-2,satisfied,10.6927176,122.5413399
"""4509523085623296""","""6570045784195072""","""5631203463921664""","""5864968618508288""","""5897368358617088""",2019-01-15 21:09:20.773000+00:00,"""4960318247665664""",dv_tl-ph_water-&-sanitation-2,satisfied,7.0875571,125.6270691
"""4509797070143488""","""6017579762057216""","""5631203463921664""","""6731849248276480""","""5897368358617088""",2019-01-25 16:40:31.003000+00:00,"""5932025741574144""",mg_tl-ph_water-&-sanitation-2,very_satisfied,7.0470426,125.5571071
"""4510273123647488""","""5679106593128448""","""5631203463921664""","""5864968618508288""","""5897368358617088""",2019-02-12 16:13:27.467000+00:00,"""4960318247665664""",dv_tl-ph_water-&-sanitation-2,satisfied,7.0536935,125.5748114
"""4510650158022656""","""6731820412436480""","""5631203463921664""","""6278228123582464""","""5897368358617088""",2019-01-29 00:28:26.315000+00:00,"""4685224216625152""",mg-ph-tl_tl-ph_water-&-sanitation-2,satisfied,6.555243,124.0508096
"""4511505812815872""","""5934997523398656""","""5631203463921664""","""6604689426612224""","""5897368358617088""",2019-02-13 19:54:19.024000+00:00,"""4530404906237952""",ii_tl-ph_water-&-sanitation-2,satisfied,10.6539927,122.9785369
"""4511558900121600""","""5764281356255232""","""5631203463921664""","""6604689426612224""","""5897368358617088""",2019-01-15 22:23:18.919000+00:00,"""4530404906237952""",ii_tl-ph_water-&-sanitation-2,satisfied,10.7185158,122.5646356
"""4512345650888704""","""5718768974036992""","""5631203463921664""","""6731849248276480""","""5897368358617088""",2019-01-26 02:01:20.870000+00:00,"""5932025741574144""",mg_tl-ph_water-&-sanitation-2,satisfied,10.316779,123.9008474
"""4512442405093376""","""5183769189285888""","""5631203463921664""","""6604689426612224""","""5897368358617088""",2019-01-15 22:38:20.955000+00:00,"""4530404906237952""",ii_tl-ph_water-&-sanitation-2,dissatisfied,10.753677,122.5243905
"""4512631769530368""","""5435022284685312""","""5631203463921664""","""6604689426612224""","""5897368358617088""",2019-01-16 15:06:19.745000+00:00,"""4530404906237952""",ii_tl-ph_water-&-sanitation-2,satisfied,10.7243908,122.5546454
"""4512829728096256""","""5883682164310016""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-02-25 21:52:18.940000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,satisfied,7.0778093,125.6044987
"""4512903622295552""","""6136419379576832""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-03-26 10:29:25.508000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,satisfied,,
"""4513118995611648""","""5715696501653504""","""5631203463921664""","""4617720517623808""","""5897368358617088""",2019-03-09 17:11:29.148000+00:00,"""5236740799332352""",ls_tl-ph_water-&-sanitation-2,very_satisfied,8.0014367,124.2550087
"""4513659592114176""","""6254783474171904""","""5631203463921664""","""5682707889651712""","""5897368358617088""",2019-01-01 14:23:17.740000+00:00,"""5583060420526080""",southern-ph-tl_water-&-sanitation-2,satisfied,14.770757,121.0559649
"""4513799828668416""","""5961673265381376""","""5631203463921664""","""5864968618508288""","""5897368358617088""",2019-02-12 20:57:19.867000+00:00,"""4960318247665664""",dv_tl-ph_water-&-sanitation-2,satisfied,7.11207,125.6150217
"""4513949849485312""","""6288655989604352""","""5631203463921664""","""6450014064738304""","""5897368358617088""",2019-03-26 02:20:25.486000+00:00,"""4537443250339840""",su-ph-tl_tl-ph_water-&-sanitation-2,dissatisfied,6.9263743,122.024842
"""4514011439693824""","""5941648959733760""","""5631203463921664""","""6278228123582464""","""5897368358617088""",2019-01-28 16:47:21.986000+00:00,"""4685224216625152""",mg-ph-tl_tl-ph_water-&-sanitation-2,dissatisfied,7.0484452,125.5362155
"""4514072831721472""","""5370750221418496""","""5631203463921664""","""6272895309316096""","""5897368358617088""",2019-01-22 22:31:24.014000+00:00,"""6067082355539968""",su_tl-ph_water-&-sanitation-2,satisfied,6.9515975,122.1047772
"""4514647145185280""","""5937667818651648""","""5631203463921664""","""5864968618508288""","""5897368358617088""",2019-02-12 23:37:27.366000+00:00,"""4960318247665664""",dv_tl-ph_water-&-sanitation-2,satisfied,7.0527538,125.550959
"""4514693684133888""","""6641145985630208""","""5631203463921664""","""6278228123582464""","""5897368358617088""",2019-03-26 13:20:21.205000+00:00,"""4685224216625152""",mg-ph-tl_tl-ph_water-&-sanitation-2,very_satisfied,6.1256031,125.1800332
